code,denomination,batch
A8R5D64,1000,batch-01
B2M7K93,1000,batch-01
C6T3R85,1000,batch-01
D9H4A72,1000,batch-01
E2K8M61,1000,batch-01
F7R3T94,1000,batch-01
G4A9D52,1000,batch-01
H6M2K83,1000,batch-01
J3T7R64,1000,batch-01
K9D4A75,1000,batch-01
L2M8R63,1000,batch-01
M5T6K92,1000,batch-01
N8R3H47,1000,batch-01
P2A9T65,1000,batch-01
Q6M4D83,1000,batch-01
R7K2T94,1000,batch-01
S3H8M61,1000,batch-01
T9A5R37,1000,batch-01
V4K7D86,1000,batch-01
W8M2T53,1000,batch-01
X5R9A72,1000,batch-01
Y2T6K94,1000,batch-01
Z7D3M65,1000,batch-01
A9H4T28,1000,batch-01
B3R8K57,1000,batch-01
C7M2D94,1000,batch-01
D5T9A63,1000,batch-01
E8K4R27,1000,batch-01
13XDXEX,1000,batch-01
1R8KQ6S,1000,batch-01
1WP6WX1,1000,batch-01
1XJF49Z,1000,batch-01
1ZSBYEY,1000,batch-01
28EDKKV,1000,batch-01
2C4B6EW,1000,batch-01
2DAPVPJ,1000,batch-01
2HRCF3W,1000,batch-01
2L6JB2B,1000,batch-01
2RKAG4Q,1000,batch-01
2UJN31M,1000,batch-01
2ZF2ASH,1000,batch-01
3DNZ85D,1000,batch-01
3HJCCV8,1000,batch-01
3K3G83T,1000,batch-01
3LNJSD7,1000,batch-01
3X9TAUV,1000,batch-01
3XWGLX3,1000,batch-01
423UH2B,1000,batch-01
4251XM8,1000,batch-01
48KNUPD,1000,batch-01
49H1NSC,1000,batch-01
4ANZ4EX,1000,batch-01
4GG5LVB,1000,batch-01
4HU8VCQ,1000,batch-01
4JCVZCY,1000,batch-01
4Y436DG,1000,batch-01
53TP9HY,1000,batch-01
59K4FQ5,1000,batch-01
59QCV6B,1000,batch-01
5GXF9MC,1000,batch-01
5J4MT6R,1000,batch-01
5NW79KD,1000,batch-01
5U5QRV7,1000,batch-01
5V4VDGP,1000,batch-01
5YV4S6V,1000,batch-01
623GW4W,1000,batch-01
65WWK5E,1000,batch-01
6AK3KE7,1000,batch-01
6SA6ULE,1000,batch-01
6SZLHLV,1000,batch-01
6V2T985,1000,batch-01
6W5945L,1000,batch-01
6WNR1Q3,1000,batch-01
6ZS1ZGQ,1000,batch-01
75SRT8R,1000,batch-01
75VTDY9,1000,batch-01
7BWQE6V,1000,batch-01
7E63N18,1000,batch-01
7R73NGG,1000,batch-01
8B9RKU4,1000,batch-01
8CERUQF,1000,batch-01
8GAU775,1000,batch-01
8K57YX1,1000,batch-01
8SDF4TC,1000,batch-01
8U2C6FW,1000,batch-01
8UQYQNS,1000,batch-01
8ZTF4F4,1000,batch-01
9BN3Q5T,1000,batch-01
9CXJ1KL,1000,batch-01
9T377R6,1000,batch-01
AEDQECX,1000,batch-01
AHEKCZK,1000,batch-01
AHTXHU4,1000,batch-01
AJTCDUJ,1000,batch-01
AL4XTKP,1000,batch-01
AW8BHZV,1000,batch-01
AXJSL54,1000,batch-01
AYR3MFZ,1000,batch-01
AYV13Q8,1000,batch-01
B8WM8PY,1000,batch-01
BFP136X,1000,batch-01
BFUQ2RV,1000,batch-01
BKRJ7HP,1000,batch-01
BN2XTET,1000,batch-01
BRLVA3F,1000,batch-01
BTBMTVX,1000,batch-01
BZVMPX8,1000,batch-01
CJ9XG5G,1000,batch-01
CUNCNCW,1000,batch-01
CW711K8,1000,batch-01
CWDUYZ4,1000,batch-01
CY4TDE2,1000,batch-01
CZP55RZ,1000,batch-01
D2XGRNN,1000,batch-01
D724G85,1000,batch-01
D9FMEER,1000,batch-01
DP31B17,1000,batch-01
DWDD79L,1000,batch-01
E5GDAFR,1000,batch-01
E99B17C,1000,batch-01
E9RT8PJ,1000,batch-01
EDLVU5H,1000,batch-01
EFWKEJT,1000,batch-01
EP9SJYE,1000,batch-01
EV65CDZ,1000,batch-01
F4CBFPQ,1000,batch-01
F4GZJDX,1000,batch-01
F4J6MDS,1000,batch-01
FC4WSBF,1000,batch-01
FRH3Q15,1000,batch-01
FT5R61X,1000,batch-01
G1USKXF,1000,batch-01
G4Z6K4M,1000,batch-01
GBV12NE,1000,batch-01
GNUQZMV,1000,batch-01
GV9NKZL,1000,batch-01
GXKJCU7,1000,batch-01
GYZHTQ4,1000,batch-01
GZYD2TN,1000,batch-01
H3Y4DUV,1000,batch-01
H6FPBDX,1000,batch-01
HBTRQJG,1000,batch-01
HDR36EH,1000,batch-01
HE75Z9G,1000,batch-01
HGRJ16Z,1000,batch-01
HMNP7TU,1000,batch-01
HP45Q3X,1000,batch-01
J75AFBS,1000,batch-01
J98FDHK,1000,batch-01
JERZZ1C,1000,batch-01
JFUW3MN,1000,batch-01
JGCV5CZ,1000,batch-01
JJ7LS4P,1000,batch-01
JRS42ZQ,1000,batch-01
JZ9TLS7,1000,batch-01
K1N9JET,1000,batch-01
K5ZZ5EJ,1000,batch-01
KR3MLMF,1000,batch-01
KYV2JFV,1000,batch-01
L1A1S6U,1000,batch-01
L387P2D,1000,batch-01
L4E116S,1000,batch-01
L61TQWD,1000,batch-01
L6AS9M9,1000,batch-01
LA357UC,1000,batch-01
LDFT548,1000,batch-01
LFU9XFR,1000,batch-01
LM3BMX3,1000,batch-01
LZVWFDK,1000,batch-01
M67MJE6,1000,batch-01
M6DRH6J,1000,batch-01
M81HSS5,1000,batch-01
MHBJAYR,1000,batch-01
MJ1Q9YE,1000,batch-01
ML5C3ZR,1000,batch-01
MSCG4YW,1000,batch-01
MUWGFWU,1000,batch-01
N17GR1Y,1000,batch-01
N4HQKTK,1000,batch-01
NQJKEUG,1000,batch-01
NV2Z55H,1000,batch-01
NYYKRGK,1000,batch-01
NZ56U19,1000,batch-01
PE33X63,1000,batch-01
PK4HURV,1000,batch-01
PRGY3KR,1000,batch-01
PSFLRME,1000,batch-01
PTJU58H,1000,batch-01
PU8NHJE,1000,batch-01
QBTCM75,1000,batch-01
QCW2TEP,1000,batch-01
QG1T6ZL,1000,batch-01
QH6HK8U,1000,batch-01
QN6YVQQ,1000,batch-01
QT48B1X,1000,batch-01
QUU6EQS,1000,batch-01
QXLE9H9,1000,batch-01
R1FZQBW,1000,batch-01
R38R785,1000,batch-01
R42F2VX,1000,batch-01
R55LZZU,1000,batch-01
RDRFF8E,1000,batch-01
RGVHCY4,1000,batch-01
RGXJCYX,1000,batch-01
RJPEPPQ,1000,batch-01
RQEXBQQ,1000,batch-01
RTLG1C7,1000,batch-01
RZUL5VA,1000,batch-01
SC6H1FU,1000,batch-01
SNMKEM8,1000,batch-01
SPWRS2J,1000,batch-01
SUWHA84,1000,batch-01
SWH29A6,1000,batch-01
SX2FX1W,1000,batch-01
SXTTANF,1000,batch-01
SZK7EFF,1000,batch-01
T3SF7BD,1000,batch-01
T5EURTX,1000,batch-01
T764TWR,1000,batch-01
TM48F7Y,1000,batch-01
TUPXPS9,1000,batch-01
TVSQHNW,1000,batch-01
UEF916C,1000,batch-01
UUB2TAD,1000,batch-01
UXH6EKQ,1000,batch-01
UYDXTHZ,1000,batch-01
V2AVUP4,1000,batch-01
V54L5Y5,1000,batch-01
V6WEA6G,1000,batch-01
16ZLCAR,1000,batch-01
6C66YUW,1000,batch-01
72A2ZA7,1000,batch-01
845MBEF,1000,batch-01
94RZ49R,1000,batch-01
9CKVRK4,1000,batch-01
9ZXDQN9,1000,batch-01
A348QSP,1000,batch-01
CTT8QY2,1000,batch-01
DB3L5TL,1000,batch-01
DFBJFHP,1000,batch-01
DH386M5,1000,batch-01
J448WGH,1000,batch-01
L4WF2UG,1000,batch-01
MA6LPBX,1000,batch-01
MKFVA2C,1000,batch-01
QKXEGF9,1000,batch-01
S298QY9,1000,batch-01
SH41JSD,1000,batch-01
SM8FNGF,1000,batch-01
SZNUK42,1000,batch-01
TBN3QVP,1000,batch-01
YS2SNKC,1000,batch-01
ZDGVD5X,1000,batch-01
ZR18NYS,1000,batch-01
L7S3M28,1000,batch-01
P5Y8W41,1000,batch-01
H2K6T93,1000,batch-01
B9D4N57,1000,batch-01
Q3X7R68,1000,batch-01
A8C2V45,1000,batch-01
M6Z5S31,1000,batch-01
T4H9L27,1000,batch-01
W2F7K83,1000,batch-01
N8Y3D65,1000,batch-01
R4B9T52,1000,batch-01
X7S2M36,1000,batch-01
L5K8A94,1000,batch-01
D3W6Z28,1000,batch-01
V9C4H71,1000,batch-01
SA3P8JH,1000,batch-01
YF1LQLS,1000,batch-01
YTH1EZJ,1000,batch-01
Z3DKMZ9,1000,batch-01
ZPY8V3P,1000,batch-01
8U9J6QQ,1000,batch-01
8ZVH6Q6,1000,batch-01
9G3BT9J,1000,batch-01
AE1CKG3,1000,batch-01
AJF3UDP,1000,batch-01
BZ91XHP,1000,batch-01
BZUY2VZ,1000,batch-01
CB3NQZP,1000,batch-01
CH77UW8,1000,batch-01
CHF1V69,1000,batch-01
D5EMPL2,1000,batch-01
D9BKF51,1000,batch-01
DGBFEKV,1000,batch-01
E7V158A,1000,batch-01
E8AFFYS,1000,batch-01
ECZTGH9,1000,batch-01
EJ1HLLQ,1000,batch-01
ELDTQGJ,1000,batch-01
F8D1T7T,1000,batch-01
FCPYTJK,1000,batch-01
G796JQL,1000,batch-01
GNUQJVJ,1000,batch-01
GV81E4U,1000,batch-01
GVGGNHP,1000,batch-01
H5C46P1,1000,batch-01
J6XHQPM,1000,batch-01
JHQUH8U,1000,batch-01
KA4JBD2,1000,batch-01
KD1YN8X,1000,batch-01
KFX52V3,1000,batch-01
KK41D4K,1000,batch-01
KLL26LN,1000,batch-01
KMLRCZK,1000,batch-01
L3BUT7K,1000,batch-01
LJLUY9R,1000,batch-01
M11VZ7B,1000,batch-01
MGP4H5W,1000,batch-01
MMH95QJ,1000,batch-01
MNTE86D,1000,batch-01
MU15UCU,1000,batch-01
NC6BW2D,1000,batch-01
NUU3EQ9,1000,batch-01
P9WQHMB,1000,batch-01
PE9DSMV,1000,batch-01
PVJCR2V,1000,batch-01
Q5M4VDK,1000,batch-01
R1P4SQ9,1000,batch-01
R35AMXN,1000,batch-01
RKWXJ4K,1000,batch-01
S4GNWAN,1000,batch-01
2AJK2V9,1000,batch-01
414FMZD,1000,batch-01
52JV5W7,1000,batch-01
734DT5G,1000,batch-01
7SCDXZG,1000,batch-01
8CUTBZD,1000,batch-01
8TJWVUG,1000,batch-01
A868HPB,1000,batch-01
AE5RBJG,1000,batch-01
BAFTCKD,1000,batch-01
BVFFMK1,1000,batch-01
CD1LA1H,1000,batch-01
E2W9JDA,1000,batch-01
HHFCN51,1000,batch-01
JVK8PKS,1000,batch-01
M37GVWQ,1000,batch-01
NEA7Y15,1000,batch-01
PLDYK91,1000,batch-01
QYZBY3T,1000,batch-01
S9A7SUQ,1000,batch-01
SX7LMZ1,1000,batch-01
SYA1M6W,1000,batch-01
SZVKJ8R,1000,batch-01
TRNSLGD,1000,batch-01
TSSNCQT,1000,batch-01
U2UZNG6,1000,batch-01
U6CAF2T,1000,batch-01
U8CYR85,1000,batch-01
UKEC883,1000,batch-01
UQCPU3U,1000,batch-01
UT3KD1D,1000,batch-01
UZSWJBP,1000,batch-01
V3581NS,1000,batch-01
VAFQHXR,1000,batch-01
VP3Q8VM,1000,batch-01
W1X6F5A,1000,batch-01
W2ARJRW,1000,batch-01
WPU6FGR,1000,batch-01
WR3DQP2,1000,batch-01
WSMAUMC,1000,batch-01
WW9J2FL,1000,batch-01
X1LLQXW,1000,batch-01
X9R9ZRN,1000,batch-01
XPPLTWW,1000,batch-01
Y1ULYNB,1000,batch-01
Y5Q9F2V,1000,batch-01
YCJMYGE,1000,batch-01
YM2RL7C,1000,batch-01
YS8SMC7,1000,batch-01
J3K7M62,1000,batch-01
K6T2R83,1000,batch-01
L9M5K64,1000,batch-01
M2R8T63,1000,batch-01
N7K3M95,1000,batch-01
P4T9R62,1000,batch-01
Q2M7K84,1000,batch-01
R8T3M62,1000,batch-01
S6K4TU2,1000,batch-01
T2M9K64,1000,batch-01
V7R3T62,1000,batch-01
W5K8M94,1000,batch-01
X3T2R63,1000,batch-01
Y9M4K62,1000,batch-01
Z4R7T83,1000,batch-01
A2K8M64,1000,batch-01
B8T3R62,1000,batch-01
C5M7K94,1000,batch-01
D9R2T63,1000,batch-01
E3K8M62,1000,batch-01
F7T4R83,1000,batch-01
V927SCN,1000,batch-01
VGJSHGK,1000,batch-01
VQNKBCR,1000,batch-01
W1U694G,1000,batch-01
W655P97,1000,batch-01
WBMSDJ3,1000,batch-01
WFJKQ1K,1000,batch-01
WHV9V3W,1000,batch-01
WL6ZF4G,1000,batch-01
WP826KS,1000,batch-01
XGF1GYY,1000,batch-01
XKATKJS,1000,batch-01
XMDS7HE,1000,batch-01
Y92XBHS,1000,batch-01
YAMK2EK,1000,batch-01
YB3D29Z,1000,batch-01
YG9PK7Q,1000,batch-01
YQECBRN,1000,batch-01
Z2WTRHB,1000,batch-01
Z7Y4XY6,1000,batch-01
A3K9T72,1200,batch-01
B7M4R63,1200,batch-01
C5T8K92,1200,batch-01
D2R7M54,1200,batch-01
E9K3T68,1200,batch-01
F4M8R25,1200,batch-01
G2T6K83,1200,batch-01
H7R3M95,1200,batch-01
J4K9T52,1200,batch-01
K6M2R84,1200,batch-01
L3T7K95,1200,batch-01
M8R4T26,1200,batch-01
N5K2M79,1200,batch-01
P7T3R64,1200,batch-01
Q2M8K53,1200,batch-01
R9T5M72,1200,batch-01
S4K7R36,1200,batch-01
T6M3K95,1200,batch-01
V2R8T64,1200,batch-01
W5K9M73,1200,batch-01
X3T6R82,1200,batch-01
Y8M2K64,1200,batch-01
Z4R7T35,1200,batch-01
A6M2K97,1200,batch-01
B3T9R64,1200,batch-01
C7K4M52,1200,batch-01
D8T2R63,1200,batch-01
E5M9K74,1200,batch-01
F2R6T83,1200,batch-01
G9K3M52,1200,batch-01
H6T4R95,1200,batch-01
J8M2K63,1200,batch-01
K3R7T52,1200,batch-01
L9M4K86,1200,batch-01
M2T8R63,1200,batch-01
N6K3M74,1200,batch-01
P4R9T25,1200,batch-01
Q8M2R63,1200,batch-01
R3K7T85,1200,batch-01
S9M4R62,1200,batch-01
T2K8M75,1200,batch-01
V6R3T94,1200,batch-01
W8M5K63,1200,batch-01
X2T7R83,1200,batch-01
Y6K9M32,1200,batch-01
Z3R8T65,1200,batch-01
A7M4K83,1200,batch-01
B2R9T56,1200,batch-01
C8K3M74,1200,batch-01
D6T2R85,1200,batch-01
E3M7K92,1200,batch-01
F9R4T63,1200,batch-01
G5K2M87,1200,batch-01
H3T8R64,1200,batch-01
J7M4K52,1200,batch-01
K2R6T93,1200,batch-01
L8M5K64,1200,batch-01
M3T7R52,1200,batch-01
N9K4M68,1200,batch-01
P2T8R63,1200,batch-01
Q6M3K85,1200,batch-01
R4T9M62,1200,batch-01
S7K2R94,1200,batch-01
T3M8K65,1200,batch-01
V9R4T26,1200,batch-01
W2K7M83,1200,batch-01
X8T3R64,1200,batch-01
Y4M9K52,1200,batch-01
Z2R6T83,1200,batch-01
A8K5M64,1200,batch-01
B4T7R92,1200,batch-01
C2M8K75,1200,batch-01
D9R3T64,1200,batch-01
E7K2M85,1200,batch-01
F3T9R52,1200,batch-01
G8M4K63,1200,batch-01
H2R7T95,1200,batch-01
J6K3M84,1200,batch-01
K9T2R63,1200,batch-01
L4M7K85,1200,batch-01
M6R3T92,1200,batch-01
N2K9M63,1200,batch-01
P8T4R75,1200,batch-01
Q3M7K6Q,1200,batch-01
R2T8M95,1200,batch-01
S6K4R83,1200,batch-01
T9M3K52,1200,batch-01
V4R7T63,1200,batch-01
W3K8M92,1200,batch-01
X7T2R64,1200,batch-01
Y5M9K83,1200,batch-01
Z8R4T52,1200,batch-01
A2T7M8K,1200,batch-01
B9K3R64,1200,batch-01
C4M8T75,1200,batch-01
D3R7K92,1200,batch-01
E8T2M63,1200,batch-01
F6K4R85,1200,batch-01
G3M9T52,1200,batch-01
H7R2K64,1200,batch-01
A9T2M63,1200,batch-01
B4K8R75,1200,batch-01
C7M3T64,1200,batch-01
D2R9K83,1200,batch-01
E8T4M62,1200,batch-01
F3K7R95,1200,batch-01
G6M2T84,1200,batch-01
H9R5K62,1200,batch-01
J2T8M75,1200,batch-01
K7R3T64,1200,batch-01
L4M9K82,1200,batch-01
M8T2RUD,1200,batch-01
N3K7M94,1200,batch-01
P9R4T62,1200,batch-01
Q2M8K75,1200,batch-01
R7T3M64,1200,batch-01
S5K9R62,1200,batch-01
T8M2K84,1200,batch-01
V3R7T95,1200,batch-01
W6K4M62,1200,batch-01
X9T5R64,1200,batch-01
Y2M8K73,1200,batch-01
Z7R3T84,1200,batch-01
A5K9M62,1200,batch-01
B8T2R75,1200,batch-01
C3M7K84,1200,batch-01
D9R4T62,1200,batch-01
E2K8M75,1200,batch-01
F7T3R64,1200,batch-01
G4M9K62,1200,batch-01
H8R2T95,1200,batch-01
J3K7M64,1200,batch-01
K6T4R82,1200,batch-01
L2M8K63,1200,batch-01
M9R3T75,1200,batch-01
N5K7M62,1200,batch-01
P2T9R83,1200,batch-01
Q8M4K62,1200,batch-01
R3T7M95,1200,batch-01
S6K2R84,1200,batch-01
T4M9K63,1200,batch-01
V7R2T64,1200,batch-01
W2K8M75,1200,batch-01
X5T9R63,1200,batch-01
Y8M3K64,1200,batch-01
Z2R7T95,1200,batch-01
A7M4K62,1200,batch-01
B2R8T75,1200,batch-01
C9K3M64,1200,batch-01
D4T7R82,1200,batch-01
E8M2K63,1200,batch-01
F3R9T75,1200,batch-01
G2K7M64,1200,batch-01
H7T4R95,1200,batch-01
J5M2K63,1200,batch-01
K9R3T84,1200,batch-01
L3M8K75,1200,batch-01
A1B2C3D,1200,batch-01
E4F5G6H,1200,batch-01
J7K8L9M,1200,batch-01
N2P3Q4R,1200,batch-01
S5T6U7V,1200,batch-01
W8X9Y1Z,1200,batch-01
A2B3C4D,1200,batch-01
E5F6G7H,1200,batch-01
J8K9L1M,1200,batch-01
N3P4Q5R,1200,batch-01
S6T7U8V,1200,batch-01
W9X1Y2Z,1200,batch-01
A3B4C5D,1200,batch-01
E6F7G8H,1200,batch-01
J9K1L2M,1200,batch-01
N4P5Q6R,1200,batch-01
S7T8U9V,1200,batch-01
W1X2Y3Z,1200,batch-01
A4B5C6D,1200,batch-01
E7F8G9H,1200,batch-01
J1K2L3M,1200,batch-01
N5P6Q7R,1200,batch-01
S8T9U1V,1200,batch-01
W2X3Y4Z,1200,batch-01
A5B6C7D,1200,batch-01
E8F9G1H,1200,batch-01
J2K3L4M,1200,batch-01
N6P7Q8R,1200,batch-01
S9T1U2V,1200,batch-01
W3X4Y5Z,1200,batch-01
A6B7C8D,1200,batch-01
E9F1G2H,1200,batch-01
J3K4L5M,1200,batch-01
N7P8Q9R,1200,batch-01
S1T2U3V,1200,batch-01
W4X5Y6Z,1200,batch-01
A7B8C9D,1200,batch-01
E1F2G3H,1200,batch-01
J4K5L6M,1200,batch-01
N8P9Q1R,1200,batch-01
S2T3U4V,1200,batch-01
W5X6Y7Z,1200,batch-01
A8B9C1D,1200,batch-01
E2F3G4H,1200,batch-01
J5K6L7M,1200,batch-01
N9P1Q2R,1200,batch-01
S3T4U5V,1200,batch-01
W6X7Y8Z,1200,batch-01
A9B1C2D,1200,batch-01
E3F4G5H,1200,batch-01
J6K7L8M,1200,batch-01
N1P2Q3R,1200,batch-01
S4T5U6V,1200,batch-01
W7X8Y9Z,1200,batch-01
A1B2C3E,1200,batch-01
F4G5H6J,1200,batch-01
K7L8M9N,1200,batch-01
P1Q2R3S,1200,batch-01
T4U5V6W,1200,batch-01
X7Y8Z9A,1200,batch-01
B1C2D3E,1200,batch-01
F5G6H7J,1200,batch-01
K8L9M1N,1200,batch-01
P2Q3R4S,1200,batch-01
T5U6V7W,1200,batch-01
X8Y9Z1A,1200,batch-01
B2C3D4E,1200,batch-01
F6G7H8J,1200,batch-01
K9L1M2N,1200,batch-01
P3Q4R5S,1200,batch-01
T6U7V8W,1200,batch-01
X9Y1Z2A,1200,batch-01
B3C4D5E,1200,batch-01
F7G8H9J,1200,batch-01
K1L2M3N,1200,batch-01
P4Q5R6S,1200,batch-01
T7U8V9W,1200,batch-01
X1Y2Z3A,1200,batch-01
B4C5D6E,1200,batch-01
F8G9H1J,1200,batch-01
K2L3M4N,1200,batch-01
